voor	voor
vóór	vóór
vòòr	vóór
tijdens	tijdens
naar	naar
door	door
boven	boven
over	over
dankzij	dankzij
onder	onder
wegens	wegens
tussen	tussen
gedurende	gedurende
volgens	volgens
namens	namens
zonder	zonder
vanuit	vanuit
tegen	tegen
beneden	beneden
rondom	rondom
vanwege	vanwege
naast	naast
sinds	sinds
rond	rond
omstreeks	omstreeks
benoorden	benoorden
vanaf	vanaf
binnen	binnen
ondanks	ondanks
buiten	buiten
langs	langs
betreffende	betreffende
aangaande	aangaande
heen	heen
nabij	nabij
gezien	gezien
anno	anno
vandaan	vandaan
achter	achter
ongeacht	ongeacht
mits	mits
inzake	inzake
conform	conform
tegenover	tegenover
mede	mede
ultimo	ultimo
omtrent	omtrent
sedert	sedert
jegens	jegens
versus	versus
dichtbij	dichtbij
middels	middels
doorheen	doorheen
behoudens	behoudens
doordat	doordat
weleens	weleens
langst	langst
annex	annex
krachtens	krachtens
halfweg	halfweg
omheen	omheen
ingevolge	ingevolge
vinnen	vinnen
exclusief	exclusief
blijkens	blijkens
halverwege	halverwege
niettegenstaande	niettegenstaande
evenals	evenals
kortweg	kortweg
rechtover	rechtover
contra	contra
onderaan	onderaan
indien	indien
officieel	officieel
strekkende	strekkende
tégen	tégen
nadat	nadat
benevens	benevens
aanwezig	aanwezig
langsheen	langsheen
houdende	houdende
waardoor	waardoor
vanop	vanop
binnenuit	binnenuit
waarbij	waarbij
voordat	voordat
zónder	zónder
bovenop	bovenop
zodat	zodat
vandoor	vandoor
bezijden	bezijden
totdat	totdat
behalve	behalve
waaraan	waaraan
daarvan	daarvan
gedaan	gedaan
ingaande	ingaande
vlakbij	vlakbij
naan	naan
gegeven	gegeven
midden	midden
echter	echter
naat	naat
ondere	ondere
ooit	ooit
voorbij	voorbij
telde	telde
neer	neer
nopens	nopens
à	à
bij	bij
in	in
kralj	kralj
met	met
op	op
te	te
tot	tot
uit	uit
van	van
aal	aal
aan	aan
af	af
afgezien	afgezien
al	al
als	als
an	an
beoosten	beoosten
bewesten	bewesten
bezuiden	bezuiden
binst	binst
bladzij	bladzij
daaraan	daaraan
daarbij	daarbij
daarbuiten	daarbuiten
daarin	daarin
daarnaar	daarnaar
daaronder	daaronder
daartegenover	daartegenover
deure	deure
eraf	eraf
d'rop	erop
d'r	er
erop	erop
d'rover	erover
errond	errond
eruit	eruit
ervoor	ervoor
getuige	getuige
hene	heen
hierdoorheen	hierdoorheen
hierop	hierop
inclusief	inclusief
lastens	lastens
linksom	linksom
lopende	lopende
luidens	luidens
mee	mee
me	mee
middenop	middenop
na	na
naartoe	naartoe
neffen	naast
neffe	naast
neven	neven
nevenst	nevenst
om	om
on	om
onafgezien	onafgezien
open	open
per	per
plus	plus
pro	pro
qua	qua
spijts	spijts
t'	t'
't	te
ten	te
ter	te
tegenaan	tegenaan
tegenop	tegenop
teneinde	teneinde
terug	terug
toe	toe
trots	trots
uitgenomen	uitgenomen
via	via
voort	voort
voren	voren
waaronder	waaronder
weg	weg
zijdens	zijdens
zoals 	zoals