enige	enig
geen	geen
zijn	zijn
alle	al
vele	veel
enkele	enkel
haar	haar
deze	deze
meer	veel
veel	veel
ieder	ieder
welke	welk
elke	elk
zo'n	zo'n
minder	weinig
meeste	veel
enkel	enkel
zulke	zulk
sommige	sommig
beide	beide
onze	ons
mijn	mijn
meest	veel
géén	géén
beiden	beide
meerdere	meerdere
aller	al
weinig	weinig
minste	minst
enig	enig
meesten	veel
hetgeen	hetgeen
sommigen	sommig
degenen	degene
allen	al
weinige	weinig
velen	veel
minst	weinig
welk	welk
mindere	weinig
iedere	ieder
enkelen	enkel
degene	degene
dezen	deze
dien	dien
dienen	die
zo’n	zo'n
diegenen	diegene
allebei	allebei
genen	geen
beider	beide
weinigen	weinig
méér	méér
datgene	datgene
zijner	zijn
veler	veel
jullie	jullie
hunne	hun
hare	haar
gene	geen
minsten	weinig
teveel	teveel
hullen	hullen
zijne	zijn
diegene	diegene
enigen	enig
hunner	hun
àlle	àlle
zijnen	zijn
zíjn	zíjn
under	under
menig	menig
mijnen	mijn
onzes	ons
zulk	zulk
mijner	mijn
hetwelk	hetwelk
álle	álle
ginds	ginds
dezer	deze
dewelke	dewelke
jouw	jouw
onse	onse
welken	welken
mijns	mijn
mijne	mijn
titulair	titulair
clip-on	clip-on
uwen	uw
ettelijke	ettelijke
zovelen	zovelen
onzen	ons
hetwelke	hetwelk
véél	véél
meerderen	meerdere
haren	haar
meerder	meerder
huns	hun
dees	dees
degeen	degeen
onzer	ons
menige	menig
één	een
ene	een
'n	'n
'ne	'ne
'r	haar
'ren	'ren
't	het
'tgeen	hetgeen
de	de
der	de
die	die
een	een
het	het
m'n	mijn
al	al
allerhande	allerhande
allerminst	allerminst
alletwee	alletwee
andersgekleurde	andersgekleurde
azo'n	azo'n
beidjes	beide
d'n	d'n
d'r	haar
d'ren	d'r
dat	dat
datgeen	datgeen
's	de
den	den
des	de
dezes	deze
dezelfde	dezelfde
dieje	die
diejen	die
diene	diene
dier	die
diegeen	diegeen
diehien	diehien
diens	diens
diezelfde	diezelfde
dit	dit
ditgene	ditgene
e	e
enen	een
ener	een
ne	een
nen	een
eene	eene
eigen	eigen
elk	elk
elken	elk
elkens	elkens
elkes	elkes
eniger	enig
enigste	enig
enne	enne
eure	eure
euren	euren
evenveel	evenveel
ewe	ewe
ge	ge
gindse	ginds
er	haar
haars	haar
harent	haar
harer	haar
haaren	haaren
halfelf	halfelf
d'	het
'tgene	hetgeen
hetgene	hetgeen
'twelk	hetwelk
'tzelfde	hetzelfde
heuren	heur
heure	heure
hulder	hulder
hulle	hulle
hulliejen	hullie
hun	hun
hunnen	hun
hunnent	hun
hunder	hunder
hunderen	hunderen
iederen	ieder
iederes	iederes
ja	ja
je	je
jun	je
jen	jen
jou	jouw
jouwe	jouw
jouwen	jouwen
jouwer	jouw
jouwes	jouwes
julliejen	jullie
junder	junder
keiveel	keiveel
keiweinig	keiweinig
m'ne	m'ne
me	me
mee	meer
menen	menen
m'nen	mijn
mij	mijn
mijnent	mijn
mijnes	mijnes
niemendal	niemendal
oe	oe
ons	ons
onzent	ons
se	se
sommig	sommig
sommigte	sommig
sommigeder	sommigeder
superveel	superveel
telken	telken
u	uw
ulder	ulder
uldere	uldere
ulderen	ulderen
ulle	ulle
une	une
uw	uw
ouw	uw
uwe	uw
uwent	uw
uwer	uw
uws	uw
vaker	vaak
meet	veel
veels	veels
wat	wat
welknen	welk
welkene	welkene
welksten	welksten
z'n	zijn
z'ne	zijn
z'nen	z'nen
ze	ze
zenen	zenen
zijnent	zijn
zijns	zijn
zo'ne	zo'ne
zoiet	zoiet
zoveel	zoveel
zovele	zovele
zukke	zuk
zulkdanige	zulkdanig
zulken	zulken
zulks	zulks
zullie	zullie